8,12,7,8,C
5,11,6,7,C
1,8,7,6,A
0,8,7,4,A
2,11,11,2,A
0,8,7,4,A
7,14,8,8,C
2,9,9,3,A
3,8,7,7,A
5,11,7,6,C
3,7,4,3,A
3,8,8,2,A
6,11,8,8,C
5,10,12,8,C
1,12,11,0,A
1,8,7,5,A
3,14,12,0,A
2,9,10,3,A
2,9,9,3,A
4,11,7,6,C
3,10,6,7,C
11,14,7,7,C
0,8,7,4,A
4,8,7,8,A
7,9,11,8,C
2,9,11,3,A
2,9,11,3,A
3,8,7,2,A
7,8,12,10,C
2,11,9,6,C
7,12,11,8,C
6,9,12,10,C
7,14,9,8,C
8,13,9,8,C
9,13,8,7,C
0,8,6,4,A
1,9,9,2,A
9,14,7,7,C
1,10,12,2,A
9,14,7,7,C
7,14,10,8,C
4,7,3,5,A
2,9,11,2,A
3,7,8,3,A
2,9,8,3,A
1,12,11,1,A
2,7,5,3,A
2,8,6,2,A
3,9,10,2,A
1,8,6,5,A
6,15,8,8,C
8,14,7,7,C
10,14,7,7,C
10,12,6,8,C
2,8,6,2,A
2,9,10,2,A
1,8,7,2,A
7,12,7,8,C
4,8,7,8,A
8,14,9,8,C
6,11,8,7,C
2,10,11,3,A
1,8,7,6,A
0,8,7,4,A
4,8,7,8,A
8,13,8,8,C
1,8,6,5,A
9,11,7,7,C
1,8,7,2,A
1,8,8,4,A
2,8,7,4,A
4,5,8,6,A
4,8,7,8,A
2,10,7,6,C
7,10,12,9,C
3,10,9,8,C
1,8,7,5,A
2,10,11,4,A
7,12,11,9,C
7,12,9,8,C
5,8,7,8,A
0,8,7,5,A
8,13,8,8,C
2,12,9,1,A
11,14,6,7,C
3,10,11,2,A
6,11,11,8,C
7,12,11,8,C
5,8,6,9,A
8,12,11,8,C
6,11,7,6,C
3,9,7,3,A
3,6,6,5,A
8,12,6,7,C
4,7,6,5,A
9,12,12,8,C
6,13,11,8,C
3,11,7,5,C
1,8,7,6,A
1,9,9,2,A
4,11,8,6,C
3,9,10,2,A
7,14,8,8,C
2,8,7,4,A
9,13,8,7,C
2,9,9,3,A
1,8,7,6,A
0,8,7,4,A
1,8,8,2,A
9,12,5,7,C
8,14,10,8,C
1,8,7,6,A
2,9,8,3,A
7,9,12,9,C
2,9,9,2,A
2,10,8,3,A
2,9,9,3,A
2,9,8,2,A
4,9,7,8,A
7,13,8,8,C
2,8,6,2,A
8,13,9,8,C
0,8,8,5,A
6,14,9,8,C
7,14,7,7,C
11,12,8,6,C
2,8,5,2,A
8,12,7,7,C
1,11,11,2,A
3,10,9,6,C
10,13,7,7,C
2,8,7,4,A
2,8,9,3,A
5,8,6,8,A
11,13,6,8,C
6,12,11,8,C
2,8,8,2,A
7,11,10,8,C
7,12,7,8,C
2,8,7,4,A
3,11,7,6,C
7,12,8,8,C
1,8,8,1,A
6,14,9,7,C
3,8,8,3,A
9,14,7,7,C
2,9,9,3,A
9,13,9,8,C
8,12,7,7,C
2,8,8,4,A
8,13,8,8,C
8,14,8,8,C
0,8,6,7,A
5,10,7,7,C
1,8,7,6,A
7,13,10,8,C
4,11,8,6,C
2,9,10,2,A
8,13,8,8,C
8,9,12,10,C
6,10,6,7,C
7,13,10,8,C
10,15,7,7,C
11,14,4,8,C
3,9,10,3,A
1,8,8,5,A
8,14,11,7,C
6,11,8,6,C
3,9,9,2,A
2,8,8,2,A
1,8,6,5,A
2,9,9,2,A
1,8,6,6,A
1,8,7,4,A
7,11,7,7,C
